timestamp,CPU_usec,Mem_used_bytes
1755267212,11209166,141287424
1755267213,11320726,145309696
1755267214,11367375,145342464
1755267215,11413422,145604608
1755267216,11484677,146083840
1755267217,11547869,146251776
1755267218,11661543,147423232
1755267219,11757595,147214336
1755267220,11837326,147075072
1755267221,11926113,146546688
1755267222,12012193,146481152
1755267223,12103373,141426688
1755267224,12192985,136757248
1755267225,12312997,127164416
1755267226,12417183,127307776
1755267227,12544432,124358656
1755267228,12661930,124215296
1755267229,12785764,116744192
1755267230,12905060,110399488
1755267231,13063607,110936064
1755267232,13202590,110403584
1755267233,13360054,110780416
1755267234,13509355,110649344
1755267235,13658094,110845952
1755267236,13811845,110813184
1755267237,13990445,111456256
1755267238,14169439,116785152
1755267239,14414242,121511936
1755267240,14645370,123461632
1755267241,14883681,129077248
1755267242,15099049,130531328
1755267243,15322079,134381568
1755267244,15565073,139358208
1755267245,15838460,145293312
1755267246,16060600,149164032
1755267247,16298241,152109056
1755267248,16587394,155107328
1755267249,17109457,155136000
1755267250,17536375,155205632
1755267251,18169602,155058176
1755267252,18773196,155369472
1755267253,19397520,155025408
1755267254,19662090,155410432
1755267255,20111058,154411008
1755267256,20454961,154976256
1755267257,20968509,154693632
1755267258,21391632,155172864
1755267259,21688816,155664384
1755267260,22200409,155545600
1755267261,22636390,155561984
1755267262,23086167,154943488
1755267263,23591207,154890240
1755267264,24219719,155049984
1755267265,24783505,155570176
1755267266,25087028,155336704
1755267267,25624060,155873280
1755267268,26123587,154968064
1755267269,26454284,155086848
1755267270,26863645,154959872
1755267271,27240491,154959872
1755267272,27737612,154324992
